1,Z55.9,V62.3,0,Academic or educational problem
2,Z60.3,V62.4,0,Acculturation difficulty
3,F43.0,308.3,0,Acute stress disorder
4,NULL,NULL,0,Adjustment disorder
5,F43.20,309.9,0,"Adjustment disorder, Unspecified"
6,F43.22,309.24,0,"Adjustment disorder, With anxiety"
7,F43.21,309,0,"Adjustment disorder, With depressed mood"
8,F43.24,309.3,0,"Adjustment disorder, With disturbance of conduct"
9,F43.23,309.28,0,"Adjustment disorder, With mixed anxiety and depressed mood"
10,F43.25,309.4,0,"Adjustment disorder, With mixed disturbance of emotions and conduct"
11,Z72.811,V71.01,0,Adult antisocial behavior
12,NULL,NULL,0,"Adult physical abuse by nonspouse or nonpartner, Confirmed"
13,T74.11XA,995.81,0,"Adult physical abuse by nonspouse or nonpartner, Confirmed, Initial encounter"
14,T74.11XD,995.81,0,"Adult physical abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter"
15,NULL,NULL,0,"Adult physical abuse by nonspouse or nonpartner, Suspected"
16,T76.11XA,995.81,0,"Adult physical abuse by nonspouse or nonpartner, Suspected, Initial encounter"
17,T76.11XD,995.81,0,"Adult physical abuse by nonspouse or nonpartner, Suspected, Subsequent encounter"
18,NULL,NULL,0,"Adult psychological abuse by nonspouse or nonpartner, Confirmed"
19,T74.31XA,995.82,0,"Adult psychological abuse by nonspouse or nonpartner, Confirmed, Initial encounter"
20,T74.31XD,995.82,0,"Adult psychological abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter"
21,NULL,NULL,0,"Adult psychological abuse by nonspouse or nonpartner, Suspected"
22,T76.31XA,995.82,0,"Adult psychological abuse by nonspouse or nonpartner, Suspected, Initial encounter"
23,T76.31XD,995.82,0,"Adult psychological abuse by nonspouse or nonpartner, Suspected, Subsequent encounter"
24,NULL,NULL,0,"Adult sexual abuse by nonspouse or nonpartner, Confirmed"
25,T74.21XA,995.83,0,"Adult sexual abuse by nonspouse or nonpartner, Confirmed, Initial encounter"
26,T74.21XD,995.83,0,"Adult sexual abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter"
27,NULL,NULL,0,"Adult sexual abuse by nonspouse or nonpartner, Suspected"
28,T76.21XA,995.83,0,"Adult sexual abuse by nonspouse or nonpartner, Suspected, Initial encounter"
29,T76.21XD,995.83,0,"Adult sexual abuse by nonspouse or nonpartner, Suspected, Subsequent encounter"
30,F98.5,307,0,Adult-onset fluency disorder
31,F40.00,300.22,0,Agoraphobia
32,NULL,303,0,Alcohol intoxication
33,NULL,291,0,Alcohol intoxication delirium
34,F10.121,NULL,0,"Alcohol intoxication delirium, With mild use disorder"
35,F10.221,NULL,0,"Alcohol intoxication delirium, With moderate or severe use disorder"
36,F10.921,NULL,0,"Alcohol intoxication delirium, Without use disorder"
37,F10.129,NULL,0,"Alcohol intoxication, With mild use disorder"
