1,1,Humor depresivo
2,1,Sentimientos de culpa
3,1,Suicidio
4,1,Insomnio precoz
5,1,Insomino intermedio
6,1,Insomnio tardio
7,1,Trabajo y actividades
8,1,Inhibicion psicomotora
9,1,Agitacion psicomotora
10,1,Ansiedad psiquica
11,1,Ansiedad somatica
12,1,Sintomas somaticos gastrointestinales
13,1,Sintomas somaticos generales
14,1,Sintomas genitales
15,1,Hipocondria
16,1,Perdida de peso
17,1,Introspeccion (insight)
18,2,Estado de animo ansioso
19,2,Tension
20,2,Temores
21,2,Insomnio
22,2,Intelectual (cognitivo)
23,2,Estado de animo deprimido
24,2,Sintomas somaticos generales (musculares)
25,2,Sintomas somaticos generales (sensoriales)
26,2,Sintomas cardiovasulares
27,2,Sintomas respiratorios
28,2,Sintomas gastrointestinales
29,2,Sintomas genitourinarios
30,2,Sintomas autonomos
31,2,Comportamiento
